RGIId,1976/1979-2000_percentDataCoverage,1976/1979-2000_volumeChange,1976/1979-2000_meanElevationChange,1976/1979-2000_geodeticMassBalance,1976/1979-2000_volumeChange_sigma,1976/1979-2000_meanElevationChange_sigma,1976/1979-2000_geodeticMassBalance_sigma,1976/1979-2000_timespan,1976/1979-2000_minYear,1976/1979-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.15766,60,1551292.309,0.215250643,0.182963046,3060530.599,0.424938724,0.361428738,21-24,1976/1979,2000,94,-4506629.05,-0.627070557,-0.533009974,1408500.096,0.200937722,0.174892024,20.09582675,2000.112254,2020.208081
RGI60-17.15767,74,319095.6167,0.043303736,0.036808175,1699415.025,0.230644049,0.196064658,21-24,1976/1979,2000,90,-4631031.363,-0.622610611,-0.529219019,1470102.468,0.202489182,0.176123163,20.09582675,2000.112254,2020.208081
RGI60-17.15768,78,-11992272.39,-3.136606599,-2.666115609,2121614.858,0.597595389,0.541698499,21-24,1976/1979,2000,95,-915723.88,-0.235972715,-0.200576808,636042.2554,0.164748758,0.140750364,20.18343977,2000.112254,2020.295694
RGI60-17.15769,83,-4221734.434,-1.111035474,-0.944380153,1167634.956,0.317170716,0.277714533,21-24,1976/1979,2000,96,-6395200.112,-1.672815861,-1.421893482,449309.9968,0.166746259,0.173673671,20.09582675,2000.112254,2020.208081
RGI60-17.15770,45,420024.846,0.144065166,0.122455391,1493778.263,0.51245527,0.435672737,21-24,1976/1979,2000,96,-1483916.086,-0.515230869,-0.437946239,527761.1932,0.186830704,0.161787031,20.18343977,2000.112254,2020.295694
RGI60-17.15771,42,-38725660.64,-0.225439813,-0.191623841,13176585.25,0.078345837,0.0679538,21-24,1976/1979,2000,93,-94935099.03,-0.555443299,-0.472126804,7771245.518,0.060082573,0.060982179,20.09582675,2000.112254,2020.208081
RGI60-17.15775,79,1861786.418,0.277699756,0.236044792,1519378.623,0.227476116,0.194071279,21-24,1976/1979,2000,83,-1190356.302,-0.179726645,-0.152767648,1293828.602,0.195762418,0.16674711,17.72828326,2000.112254,2017.840537
RGI60-17.15777,88,766740.9796,0.227289819,0.193196346,1160673.868,0.344440979,0.293092274,21-24,1976/1979,2000,83,-7312172.207,-2.133633512,-1.813588485,714105.0702,0.257257912,0.253386742,19.83232373,2000.112254,2019.944578
RGI60-17.15779,67,1323765.065,0.123583093,0.105045629,2472424.484,0.230984162,0.196476507,21-24,1976/1979,2000,95,337002.3205,0.031570388,0.02683483,1286222.608,0.120514054,0.102454458,20.09582675,2000.112254,2020.208081
RGI60-17.15780,74,-199962.5967,-0.04959585,-0.042156472,1286266.066,0.319046232,0.271205623,21-24,1976/1979,2000,94,-1332611.644,-0.33559791,-0.285258224,670460.7897,0.170505465,0.146321754,20.09582675,2000.112254,2020.208081
RGI60-17.15786,82,1783731.227,0.332141605,0.282320365,1862844.178,0.347667099,0.296188221,21-24,1976/1979,2000,94,-4596174.037,-0.835558346,-0.710224594,961372.0752,0.18448865,0.164634208,20.09582675,2000.112254,2020.208081
RGI60-17.15789,94,-2618362.165,-0.601920782,-0.511632665,630040.4862,0.150960791,0.133302211,21-24,1976/1979,2000,89,-4941082.262,-1.136139025,-0.965718172,1345948.279,0.319740853,0.280198397,20.09582675,2000.112254,2020.208081
RGI60-17.15792,61,-16513425.26,-0.474053422,-0.402945409,5436470.825,0.159624886,0.138630413,21-24,1976/1979,2000,90,-4875680.082,-0.140302103,-0.119256788,5306397.443,0.15301833,0.130337715,20.09582675,2000.112254,2020.208081
RGI60-17.15796,54,-9734170.384,-0.560593657,-0.476504609,7629330.999,0.441159868,0.376491395,21-24,1976/1979,2000,88,-9889996.633,-0.57525621,-0.488967779,2426303.628,0.146874212,0.129526467,20.09582675,2000.112254,2020.208081
RGI60-17.15797,63,-9007579.124,-0.883988465,-0.751390195,8820007.887,0.867834578,0.739563754,21-24,1976/1979,2000,85,-20050060.86,-1.953421206,-1.660408025,2073980.343,0.244771383,0.238797488,20.09582675,2000.112254,2020.208081
RGI60-17.15798,81,-3627004.335,-0.931551492,-0.791818768,4727197.15,1.215908046,1.035032091,21-24,1976/1979,2000,75,-5442632.714,-1.351896008,-1.149111607,1418879.567,0.365169794,0.320817829,20.09582675,2000.112254,2020.208081
RGI60-17.15800,80,-2339088.84,-1.000910529,-0.85077395,2954899.393,1.266398905,1.078112994,21-24,1976/1979,2000,92,-1480961.147,-0.547968936,-0.465773596,664146.0221,0.248775996,0.214000311,20.09582675,2000.112254,2020.208081
RGI60-17.15803,76,2043729.865,0.342218038,0.290885332,2178861.421,0.365647121,0.311477576,21-24,1976/1979,2000,94,-3799557.767,-0.688853141,-0.58552517,860384.8752,0.163468666,0.144965222,18.69269047,2000.112254,2018.804945
RGI6017.05091b,86,1367671.023,0.342468622,0.291098329,2106835.905,0.52811306,0.449366147,21-24,1976/1979,2000,96,-2649974.154,-0.64872823,-0.551418996,1573196.013,0.387849285,0.331961761,20.13963326,2000.112254,2020.251887
