RGIId,1976-2000_percentDataCoverage,1976-2000_volumeChange,1976-2000_meanElevationChange,1976-2000_geodeticMassBalance,1976-2000_volumeChange_sigma,1976-2000_meanElevationChange_sigma,1976-2000_geodeticMassBalance_sigma,1976-2000_timepsan,1976-2000_minYear,1976-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.15881,94,900878.0491,0.199143071,0.169271611,1142596.142,0.252968154,0.21535466,24,1976,2000,96,-1149155.033,-0.253953758,-0.215860694,980173.9673,0.217353403,0.18537767,20.81589629,2000.112254,2020.92815
RGI60-17.15887,92,-61147454.02,-2.032844973,-1.727918227,3682946.464,0.188822771,0.201585948,24,1976,2000,95,-52835548.14,-1.768178109,-1.502951393,1669507.884,0.136956471,0.157503081,20.81589629,2000.112254,2020.92815
RGI60-17.15888,94,-7100244.931,-0.576516487,-0.490039014,1359359.26,0.117665912,0.105828833,24,1976,2000,96,-12731080.91,-1.054854677,-0.896626476,869773.6968,0.103728028,0.108533532,20.81589629,2000.112254,2020.92815
RGI60-17.15890,91,-8677618.815,-0.496314433,-0.421867268,3145866.008,0.183318243,0.158640509,24,1976,2000,96,-2424478.68,-0.137498481,-0.116873709,2233728.075,0.127053072,0.108309764,20.81589629,2000.112254,2020.92815
RGI60-17.15892,94,7172139.304,0.526626006,0.447632105,4267041.662,0.315519666,0.270046667,24,1976,2000,96,-11944803.13,-0.864486919,-0.734813881,1181763.893,0.105129801,0.103323203,20.81589629,2000.112254,2020.92815
RGI60-17.15896,71,29225865.04,0.45368941,0.385635999,17233395.13,0.269440293,0.230636314,24,1976,2000,95,-26360988.53,-0.407381643,-0.346274397,5067039.938,0.083436214,0.075014749,20.81589629,2000.112254,2020.92815
RGI60-17.15897,46,-468475459.2,-1.098073584,-0.933362547,31590564.12,0.107294325,0.112508792,24,1976,2000,95,-669209310.4,-1.623180393,-1.379703334,18545399.48,0.123325715,0.143086137,20.81589629,2000.112254,2020.92815
RGI60-17.15898,45,-124567873.6,-0.461725421,-0.392466608,21206680.12,0.085119284,0.077473926,24,1976,2000,95,-268904139.5,-1.031246826,-0.876559802,17484725.01,0.09906819,0.104496281,20.81589629,2000.112254,2020.92815
RGI60-17.15899,77,-57887298.92,-0.784406512,-0.666745535,11536746.86,0.174904107,0.1559403,24,1976,2000,96,-315805443,-2.201631821,-1.871387047,8648304.436,0.167024096,0.193921312,20.81589629,2000.112254,2020.92815
RGI60-17.15903,85,-84371250.45,-1.040618567,-0.884525782,14056849.22,0.202206306,0.182864793,24,1976,2000,96,-193029731,-1.222304592,-1.038958904,10122486.68,0.107646918,0.11726351,20.81589629,2000.112254,2020.92815
RGI60-17.15904,90,-51785430.98,-1.691122565,-1.43745418,5483613.186,0.215330612,0.209274887,24,1976,2000,95,-8188110.693,-0.269236281,-0.228850839,2732298.544,0.091836782,0.079715234,20.81589629,2000.112254,2020.92815
RGI60-17.15905,87,-22023250.11,-1.190475364,-1.011904059,4145799.225,0.239419809,0.215678156,24,1976,2000,96,-15585209.24,-0.894864859,-0.76063513,1645741.865,0.113728242,0.110579003,20.81589629,2000.112254,2020.92815
RGI60-17.15908,86,-164618.7221,-0.031353259,-0.02665027,2330474.997,0.443867485,0.377292052,24,1976,2000,96,-4579036.466,-0.874087567,-0.742974432,723034.6571,0.15122664,0.138829809,20.81589629,2000.112254,2020.92815
